areaCode,areaName,areaType,date,newLFDTests
E06000042,Milton Keynes,utla,2021-04-24,1073
E06000042,Milton Keynes,utla,2021-04-23,2184
E06000042,Milton Keynes,utla,2021-04-22,4644
E06000042,Milton Keynes,utla,2021-04-21,7215
E06000042,Milton Keynes,utla,2021-04-20,2572
E06000042,Milton Keynes,utla,2021-04-19,5555
E06000042,Milton Keynes,utla,2021-04-18,9016
E06000042,Milton Keynes,utla,2021-04-17,973
E06000042,Milton Keynes,utla,2021-04-16,2110
E06000042,Milton Keynes,utla,2021-04-15,4923
E06000042,Milton Keynes,utla,2021-04-14,7337
E06000042,Milton Keynes,utla,2021-04-13,2288
E06000042,Milton Keynes,utla,2021-04-12,5109
E06000042,Milton Keynes,utla,2021-04-11,10704
E06000042,Milton Keynes,utla,2021-04-10,976
E06000042,Milton Keynes,utla,2021-04-09,1753
E06000042,Milton Keynes,utla,2021-04-08,3655
E06000042,Milton Keynes,utla,2021-04-07,4740
E06000042,Milton Keynes,utla,2021-04-06,2157
E06000042,Milton Keynes,utla,2021-04-05,3710
E06000042,Milton Keynes,utla,2021-04-04,4385
E06000042,Milton Keynes,utla,2021-04-03,875
E06000042,Milton Keynes,utla,2021-04-02,1399
E06000042,Milton Keynes,utla,2021-04-01,3710
E06000042,Milton Keynes,utla,2021-03-31,5388
E06000042,Milton Keynes,utla,2021-03-30,1183
E06000042,Milton Keynes,utla,2021-03-29,1270
E06000042,Milton Keynes,utla,2021-03-28,10059
E06000042,Milton Keynes,utla,2021-03-27,660
E06000042,Milton Keynes,utla,2021-03-26,1970
E06000042,Milton Keynes,utla,2021-03-25,5175
E06000042,Milton Keynes,utla,2021-03-24,10337
E06000042,Milton Keynes,utla,2021-03-23,2949
E06000042,Milton Keynes,utla,2021-03-22,5701
E06000042,Milton Keynes,utla,2021-03-21,11742
E06000042,Milton Keynes,utla,2021-03-20,747
E06000042,Milton Keynes,utla,2021-03-19,2613
E06000042,Milton Keynes,utla,2021-03-18,7015
E06000042,Milton Keynes,utla,2021-03-17,8360
E06000042,Milton Keynes,utla,2021-03-16,6238
E06000042,Milton Keynes,utla,2021-03-15,8158
E06000042,Milton Keynes,utla,2021-03-14,3589
E06000042,Milton Keynes,utla,2021-03-13,520
E06000042,Milton Keynes,utla,2021-03-12,6210
E06000042,Milton Keynes,utla,2021-03-11,6784
E06000042,Milton Keynes,utla,2021-03-10,8176
E06000042,Milton Keynes,utla,2021-03-09,6325
E06000042,Milton Keynes,utla,2021-03-08,8017
E06000042,Milton Keynes,utla,2021-03-07,3097
E06000042,Milton Keynes,utla,2021-03-06,434
E06000042,Milton Keynes,utla,2021-03-05,2564
E06000042,Milton Keynes,utla,2021-03-04,2806
E06000042,Milton Keynes,utla,2021-03-03,2306
E06000042,Milton Keynes,utla,2021-03-02,1613
E06000042,Milton Keynes,utla,2021-03-01,2809
E06000042,Milton Keynes,utla,2021-02-28,1577
E06000042,Milton Keynes,utla,2021-02-27,344
E06000042,Milton Keynes,utla,2021-02-26,1148
E06000042,Milton Keynes,utla,2021-02-25,2230
E06000042,Milton Keynes,utla,2021-02-24,2069
E06000042,Milton Keynes,utla,2021-02-23,1355
E06000042,Milton Keynes,utla,2021-02-22,2531
E06000042,Milton Keynes,utla,2021-02-21,1633
E06000042,Milton Keynes,utla,2021-02-20,292
E06000042,Milton Keynes,utla,2021-02-19,808
E06000042,Milton Keynes,utla,2021-02-18,1029
E06000042,Milton Keynes,utla,2021-02-17,1042
E06000042,Milton Keynes,utla,2021-02-16,705
E06000042,Milton Keynes,utla,2021-02-15,1093
E06000042,Milton Keynes,utla,2021-02-14,830
E06000042,Milton Keynes,utla,2021-02-13,254
E06000042,Milton Keynes,utla,2021-02-12,1097
E06000042,Milton Keynes,utla,2021-02-11,1972
E06000042,Milton Keynes,utla,2021-02-10,2044
E06000042,Milton Keynes,utla,2021-02-09,1203
E06000042,Milton Keynes,utla,2021-02-08,2454
E06000042,Milton Keynes,utla,2021-02-07,1626
E06000042,Milton Keynes,utla,2021-02-06,323
E06000042,Milton Keynes,utla,2021-02-05,1118
E06000042,Milton Keynes,utla,2021-02-04,1924
E06000042,Milton Keynes,utla,2021-02-03,2101
E06000042,Milton Keynes,utla,2021-02-02,1299
E06000042,Milton Keynes,utla,2021-02-01,2302
E06000042,Milton Keynes,utla,2021-01-31,1623
E06000042,Milton Keynes,utla,2021-01-30,361
E06000042,Milton Keynes,utla,2021-01-29,1194
E06000042,Milton Keynes,utla,2021-01-28,1801
E06000042,Milton Keynes,utla,2021-01-27,1822
E06000042,Milton Keynes,utla,2021-01-26,1154
E06000042,Milton Keynes,utla,2021-01-25,1759
E06000042,Milton Keynes,utla,2021-01-24,928
E06000042,Milton Keynes,utla,2021-01-23,218
E06000042,Milton Keynes,utla,2021-01-22,820
E06000042,Milton Keynes,utla,2021-01-21,1081
E06000042,Milton Keynes,utla,2021-01-20,951
E06000042,Milton Keynes,utla,2021-01-19,842
E06000042,Milton Keynes,utla,2021-01-18,1195
E06000042,Milton Keynes,utla,2021-01-17,376
E06000042,Milton Keynes,utla,2021-01-16,224
E06000042,Milton Keynes,utla,2021-01-15,771
E06000042,Milton Keynes,utla,2021-01-14,874
E06000042,Milton Keynes,utla,2021-01-13,804
E06000042,Milton Keynes,utla,2021-01-12,596
E06000042,Milton Keynes,utla,2021-01-11,869
E06000042,Milton Keynes,utla,2021-01-10,261
E06000042,Milton Keynes,utla,2021-01-09,225
E06000042,Milton Keynes,utla,2021-01-08,579
E06000042,Milton Keynes,utla,2021-01-07,563
E06000042,Milton Keynes,utla,2021-01-06,423
E06000042,Milton Keynes,utla,2021-01-05,425
E06000042,Milton Keynes,utla,2021-01-04,455
E06000042,Milton Keynes,utla,2021-01-03,132
E06000042,Milton Keynes,utla,2021-01-02,123
E06000042,Milton Keynes,utla,2021-01-01,79
E06000042,Milton Keynes,utla,2020-12-31,182
E06000042,Milton Keynes,utla,2020-12-30,309
E06000042,Milton Keynes,utla,2020-12-29,306
E06000042,Milton Keynes,utla,2020-12-28,251
