areaCode,areaName,areaType,date,newDeaths60DaysByPublishDate
E06000042,Milton Keynes,utla,2020-12-01,1
E06000042,Milton Keynes,utla,2020-11-30,2
E06000042,Milton Keynes,utla,2020-11-29,0
E06000042,Milton Keynes,utla,2020-11-28,1
E06000042,Milton Keynes,utla,2020-11-27,1
E06000042,Milton Keynes,utla,2020-11-26,0
E06000042,Milton Keynes,utla,2020-11-25,1
E06000042,Milton Keynes,utla,2020-11-24,3
E06000042,Milton Keynes,utla,2020-11-23,2
E06000042,Milton Keynes,utla,2020-11-22,1
E06000042,Milton Keynes,utla,2020-11-21,1
E06000042,Milton Keynes,utla,2020-11-20,3
E06000042,Milton Keynes,utla,2020-11-19,1
E06000042,Milton Keynes,utla,2020-11-18,0
E06000042,Milton Keynes,utla,2020-11-17,7
E06000042,Milton Keynes,utla,2020-11-16,3
E06000042,Milton Keynes,utla,2020-11-15,1
E06000042,Milton Keynes,utla,2020-11-14,0
E06000042,Milton Keynes,utla,2020-11-13,0
E06000042,Milton Keynes,utla,2020-11-12,1
E06000042,Milton Keynes,utla,2020-11-11,0
E06000042,Milton Keynes,utla,2020-11-10,1
E06000042,Milton Keynes,utla,2020-11-09,0
E06000042,Milton Keynes,utla,2020-11-08,1
E06000042,Milton Keynes,utla,2020-11-07,0
E06000042,Milton Keynes,utla,2020-11-06,1
E06000042,Milton Keynes,utla,2020-11-05,1
E06000042,Milton Keynes,utla,2020-11-04,1
E06000042,Milton Keynes,utla,2020-11-03,0
E06000042,Milton Keynes,utla,2020-11-02,0
E06000042,Milton Keynes,utla,2020-11-01,0
E06000042,Milton Keynes,utla,2020-10-31,0
E06000042,Milton Keynes,utla,2020-10-30,0
E06000042,Milton Keynes,utla,2020-10-29,0
E06000042,Milton Keynes,utla,2020-10-28,0
E06000042,Milton Keynes,utla,2020-10-27,0
E06000042,Milton Keynes,utla,2020-10-26,0
E06000042,Milton Keynes,utla,2020-10-25,0
E06000042,Milton Keynes,utla,2020-10-24,0
E06000042,Milton Keynes,utla,2020-10-23,0
E06000042,Milton Keynes,utla,2020-10-22,0
E06000042,Milton Keynes,utla,2020-10-21,0
E06000042,Milton Keynes,utla,2020-10-20,0
E06000042,Milton Keynes,utla,2020-10-19,0
E06000042,Milton Keynes,utla,2020-10-18,0
E06000042,Milton Keynes,utla,2020-10-17,0
E06000042,Milton Keynes,utla,2020-10-16,1
E06000042,Milton Keynes,utla,2020-10-15,0
E06000042,Milton Keynes,utla,2020-10-14,0
E06000042,Milton Keynes,utla,2020-10-13,0
E06000042,Milton Keynes,utla,2020-10-12,0
E06000042,Milton Keynes,utla,2020-10-11,0
E06000042,Milton Keynes,utla,2020-10-10,0
E06000042,Milton Keynes,utla,2020-10-09,0
E06000042,Milton Keynes,utla,2020-10-08,0
E06000042,Milton Keynes,utla,2020-10-07,0
E06000042,Milton Keynes,utla,2020-10-06,0
E06000042,Milton Keynes,utla,2020-10-05,0
E06000042,Milton Keynes,utla,2020-10-04,0
E06000042,Milton Keynes,utla,2020-10-03,0
E06000042,Milton Keynes,utla,2020-10-02,1
E06000042,Milton Keynes,utla,2020-10-01,0
E06000042,Milton Keynes,utla,2020-09-30,0
E06000042,Milton Keynes,utla,2020-09-29,0
E06000042,Milton Keynes,utla,2020-09-28,0
E06000042,Milton Keynes,utla,2020-09-27,0
E06000042,Milton Keynes,utla,2020-09-26,0
E06000042,Milton Keynes,utla,2020-09-25,0
E06000042,Milton Keynes,utla,2020-09-24,0
E06000042,Milton Keynes,utla,2020-09-23,0
E06000042,Milton Keynes,utla,2020-09-22,0
E06000042,Milton Keynes,utla,2020-09-21,0
E06000042,Milton Keynes,utla,2020-09-20,0
E06000042,Milton Keynes,utla,2020-09-19,0
E06000042,Milton Keynes,utla,2020-09-18,0
E06000042,Milton Keynes,utla,2020-09-17,0
E06000042,Milton Keynes,utla,2020-09-16,0
E06000042,Milton Keynes,utla,2020-09-15,0
E06000042,Milton Keynes,utla,2020-09-14,0
E06000042,Milton Keynes,utla,2020-09-13,0
E06000042,Milton Keynes,utla,2020-09-12,0
E06000042,Milton Keynes,utla,2020-09-11,0
E06000042,Milton Keynes,utla,2020-09-10,0
E06000042,Milton Keynes,utla,2020-09-09,0
E06000042,Milton Keynes,utla,2020-09-08,0
E06000042,Milton Keynes,utla,2020-09-07,0
E06000042,Milton Keynes,utla,2020-09-06,0
E06000042,Milton Keynes,utla,2020-09-05,0
E06000042,Milton Keynes,utla,2020-09-04,0
E06000042,Milton Keynes,utla,2020-09-03,0
E06000042,Milton Keynes,utla,2020-09-02,0
E06000042,Milton Keynes,utla,2020-09-01,0
E06000042,Milton Keynes,utla,2020-08-31,0
E06000042,Milton Keynes,utla,2020-08-30,0
E06000042,Milton Keynes,utla,2020-08-28,0
E06000042,Milton Keynes,utla,2020-08-27,0
E06000042,Milton Keynes,utla,2020-08-26,0
E06000042,Milton Keynes,utla,2020-08-25,0
E06000042,Milton Keynes,utla,2020-08-24,0
E06000042,Milton Keynes,utla,2020-08-23,0
E06000042,Milton Keynes,utla,2020-08-22,0
E06000042,Milton Keynes,utla,2020-08-21,0
E06000042,Milton Keynes,utla,2020-08-20,0
E06000042,Milton Keynes,utla,2020-08-19,0
E06000042,Milton Keynes,utla,2020-08-18,0
E06000042,Milton Keynes,utla,2020-08-17,0
E06000042,Milton Keynes,utla,2020-08-15,1
